accession,name,Study Disease/Focus,Release Date,Ancestry (computed),Related Terms,description,principal_investigator,cited_publications,funding_source,study_type,external_study_url,gene_keywords,disease_keywords,participant_count,sample_count,limitations_for_reuse,assay_method,dbGaP_URL,gpa,doc,dataset_uuid,dataset_source_repo
phs001181,Single-Cell DNA and RNA Sequencing over A 29-Year Period of A CLL Patient,"Leukemia, Lymphocytic, Chronic, B-Cell",2017-03-24,,"B Cell CLL; B Cell Chronic Lymphocytic Leukemia; B Cell Leukemia, Chronic; B Cell Lymphocytic Leukemia; B Cell Malignancy, Low Grade; B Lymphocytic Leukemia, Chronic","<p>Chronic lymphocytic leukemia (CLL) is a frequent B-cell malignancy characterized by recurrent somatic chromosome alterations and a low level of point mutations. Here we present single nucleotide polymorphism (SNP) microarray analyses of a single CLL patient over 29-years of observation and treatment, and transcriptome and whole genome sequencing at selected timepoints. We identified chromosome alterations of 13q14-, 6q- and 12q+ in early cell clones, elimination of clonal populations following therapy, and subsequent appearance of a clone containing trisomy 12 and a chromosome 10 copy neutral loss of heterogeneity (LOH) that marks a major population dominant at death. Serial single cell RNA sequencing revealed elevated mRNA expression of the FOS, JUN and KLF4 genes just before the appearance of acute disease requiring therapy. This gene expression pattern became undetectable following therapy, but reoccurred following relapse. Transcriptome evolution indicates that complex expression changes occur over time. In conclusion, CLL can evolve gradually during indolent phases, and undergo rapid changes following therapy. </p>","Michael Dean, PhD",,HHSN261200800001E;CXZZ20150330171838997;ZDSYS20140509153457495;JSGG20140702161347218,Case Set,,FOS;JUN;KLF4,,1.0,16.0,DS-CA-MDS,RNA-Seq;Array_SNP;WGS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001181,nan,nan,5e0726be-272e-42f5-bc7f-a30a53ee313d,dbGaP
phs001121,Integrated Genetic and Pharmacologic Interrogation of Rare Cancers,Sarcoma,2017-03-21,,"Sarcoma, Spindle Cell; Sarcomas, Spindle Cell; Spindle Cell Sarcomas; spindle cell sarcoma","<p>Due to the paucity of patient derived models in rare cancers, identification of therapeutic targets remains challenging. We developed a patient derived model, CLF-PED-015-T, from a patient with an undifferentiated sarcoma. From this model, we performed pooled RNAi and CRISPR-Cas9 negative selection screens and integrated that with a small molecule screen. Integration of these data identified CDK4 and XPO1 as potential therapeutic targets.</p>","William C. Hahn, MD, PhD;Jesse Boehm, PhD",,U01 CA176058,Cohort,,AMFR;CDK4;DTNB;EMP1;FUS;GABRA3;GRID2;ITPR2;PRKCH;RPS24;VEGFA;XPA;XPO1;PDLIM1;IGF2BP2;TMED10;UBXN7;GALNT7;CLSTN2;FSD1;ALPK2;ZNF680,,1.0,3.0,DS-CA-MDS,RNA-Seq;WXS;Seq_DNA_SNP_MAF_Sum,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001121,nan,nan,d0e90bdd-15dd-4973-8542-5224949ec44c,dbGaP
phs001263,DRIVE Breast Cancer GWAS Meta-Analysis,Breast Neoplasms,2017-03-09,,Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer,"<p>Discovery, Biology, and Risk of Inherited Variants in Breast Cancer (DRIVE) was one of five projects funded in 2010 as part of the NCI&#39;s Genetic Associations and Mechanisms in Oncology (GAME-ON) initiative (<a href=""http://epi.grants.cancer.gov/gameon/"">http://epi.grants.cancer.gov/gameon/</a>). GAME-ON&#39;s overall goal was to foster an intra-disciplinary and collaborative approach to the translation of promising research leads deriving from the initial wave of cancer GWAS. Specific goals included replication of previous GWAS findings and identification of new susceptibility loci through meta analyses of existing GWAS data and fine mapping of identified loci to better pinpoint causal variants; and identify germline variants that are associated with risk of multiple cancers. The other four funded GAME-ON projects were: the ColoRectal TransdisciplinaryStudy (CORECT), Elucidating Loci Involved in Prostate Cancer Susceptibility (ELLIPSE), Follow-up of Ovarian Cancer Genetic Association and Interaction Study (FOCI), and Transdisciplinary Research in Cancer of the Lung (TRICL).</p> <p>To identify additional cancer risk loci, improve the precision of fine-mapping, and facilitate cross-cancer analyses, DRIVE investigators performed a meta-analysis of eleven genome-wide association studies of breast cancer: The Australian Breast Cancer Family Study (ABCFS), the British Breast Cancer Study (BBCS), the Breast and Prostate Cancer Cohort Consortium (BPC3), the Breast Cancer Family Registries (BCFR), the Dutch Familial Bilateral Breast Cancer Study (DFBBCS), German Consortium for Hereditary Breast and Ovarian Cancer (GC-HBOC), the Helsinki breast cancer family Study (HEBCS), the Mammary Carcinoma Risk factor Investigation (MARIE), the Singapore and Sweden Breast Cancer Study (SASBAC), the Triple Negative Breast Cancer Study (TNBC), and the UK2 GWAS. These studies comprised a total of 16,062 cases and 46,157 controls. Imputation to the 1,000 Genomes Project Phase 1 v3 ALL reference panel was performed by study, and summary statistics from each study were combined using fixed-effect meta analysis. </p>","David J. Hunter, MBBS, MPH, ScD",27197191;22267197;23535729;22976474;23535733,U19CA148065,Case-Control,http://gameon.dfci.harvard.edu,,,,,nan,nan,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001263,nan,nan,f52ed3d5-80db-4d29-9deb-cdcc22df14c1,dbGaP
phs001036,Genomic Characterization of Acral Melanoma,Melanoma,2017-03-01,,"Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma, Malignant; Melanomas","<p>In this study, we performed paired tumor/normal long insert whole genome and exome sequencing and tumor RNA sequencing on primary or metastatic acral melanoma tumors collected from 34 patients. Patients were enrolled from either Vanderbilt University or the Memorial Sloan-Kettering Cancer Center. We report an integrated analysis of DNA and RNA sequencing data to describe genomic and transcriptomic characteristics of acral melanoma.</p>","Jeffrey Sosman, MD",,Acral Genomics Team Science Award,Tumor vs. Matched-Normal,,,,34.0,109.0,GRU-PUB-NPU,RNA-Seq;WXS;WGS;Seq_DNA_SNP_MAF_Sum,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001036,nan,nan,3d0c91a7-8844-4182-925c-5def7acd29b1,dbGaP
phs001271,Pooled Genome-Wide Analysis of Kidney Cancer Risk (KIDRISK),"Carcinoma, Renal Cell",2017-02-28,"European (5208), Hispanic1 (6), Hispanic2 (1), South Asian (3), Other (89)","Kidney Neoplasms; ADENOCARCINOMA OF KIDNEY; Adenocarcinoma Of Kidneys; Adenocarcinoma of the Kidney; Adenocarcinoma, Renal; Adenocarcinoma, Renal Cell","<p>Incidence rates of renal cell carcinoma (RCC) are rising and the latest estimates show that it accounts for over 300,000 cases and 120,000 deaths worldwide each year. Mechanisms underlying RCC occurrence are not fully understood and a large part of the disease heritability remains unexplained. The study aimed at augmenting the size of available RCC genome-wide association studies to increase the statistical power to detect genetic variants associated with the disease. The study includes genome-wide genotyping data from RCC cases (n=2,781) and controls (n=2,526) recruited in Western Europe, Central and Eastern Europe, and Australia.</p>","Ghislaine Scélo, PhD",,U01CA155309,Case-Control;Case-Cohort,,,Kidney Neoplasms,5307.0,5307.0,HMB-PUB-NPU-MDS;DS-CA-NPU-GSO;DS-RCC-MDS,Array_SNP,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001271,nan,nan,5d36ec42-e419-4c14-a032-5fca0b4b2cf4,dbGaP
phs000882,Prostate Cancer Genome-Wide Association Study for Uncommon Susceptibility    Loci (PEGASUS),Prostatic Neoplasms,2017-01-24,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate","<p>This genome-wide association study was funded by the National Cancer Institute (NCI) to identify uncommon susceptibility loci for prostate cancer. A total of 4,600 prostate cancer cases and 2,840 controls of European ancestry from the Prostate, Lung, Colorectal, and Ovarian (PLCO) Cancer Screening Trial were genotyped using the Illumina HumanOmni2.5 and passed rigorous quality control filters. Additional genotype data (available in dbGap under other accession numbers) from 101 independent controls of European ancestry scanned with the HumanOmni2.5 were also included, resulting in a total of 4,600 cases and 2,941 controls for the published analysis. SNPs from the most promising regions, as determined by rank p-value, under multiple different models as well as select candidate genes were taken forward for replication using a custom Iselect chip in 6,575 cases and 6,392 controls of European ancestry. Results from the primary scan after imputation were then meta-analyzed with the Iselect results as well as results from previous GWAS.</p> <p>In a combined meta-analysis of the primary scan together with the custom Iselect replication and a previous GWAS, thirteen loci reached genome-wide significance (P &#60; 5 x 10<sup>-8</sup>) for prostate cancer overall; however, each of them confirmed a previously reported locus. Although they did not reach genome-wide significance, we found evidence for two new suggestive loci at chromosome 16q22.2 (PKD1L3, rs12597458, P = 9.67 x 10<sup>-8</sup>) and 6p22.3 (CDKAL1, rs12198220, P = 2.13 x 10<sup>-7</sup>). In a combined case-only analysis of 12,518 prostate cancer cases, we identified two loci associated with Gleason score, a pathological measure of disease aggressiveness: rs35148638 at 5q14.3 (RASA1, P=6.49x10<sup>-9</sup>) and rs78943174 at 3q26.31 (NAALADL2, P=4.18x10<sup>-8</sup>). In a stratified case-control analysis, the SNP at 5q14.3 appears specific for aggressive prostate cancer (P=8.85x10<sup>-5</sup>) with no association for non-aggressive prostate cancer compared to controls (P=0.57).</p> <p>Only the cases and controls genotyped on the HumanOmni2.5 specifically for this study are included under this accession number. Controls (n=101) genotyped with the HumanOmni2.5 for another study are posted under a different accession number. Please note that the majority of prostate cancer cases and controls genotyped in CGEMS (and posted under a different accession number) are included in this study.</p>",Sonja Berndt;Stephen Chanock,,Intramural Research Program,Case-Control,,,,7440.0,7639.0,CADM,Array_SNP,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000882,nan,nan,5985189a-2558-49ab-b4c5-7323e20d0c94,dbGaP
phs000907,Brain Metastases in Squamous Cell Lung Cancers,"Carcinoma, Squamous Cell",2016-12-22,,"Carcinoma, Non Small Cell Lung; Carcinoma, Non-Small Cell Lung; Carcinoma, Non-Small-Cell Lung; Carcinomas, Non-Small-Cell Lung; Lung Carcinoma, Non-Small-Cell; Lung Carcinomas, Non-Small-Cell","<p>Putative oncogenic pathways in squamous cell lung cancer have been recently characterized, although their biologic repercussions in patients is largely unknown. This study sought to discover potential clinical manifestations of major pathways in squamous cell lung cancer, particularly the PI3K pathway. Two key findings emerged: patients with stage IV squamous cell lung cancer whose tumors harbored upstream PI3K aberrations had significantly worse survival and a higher burden of metastatic disease. In addition, brain metastases were significantly more common in these patients than in others. Paired lung primary/brain metastasis genotyping, including RNA sequencing and whole exome sequencing, uncovered a high degree of genetic heterogeneity between lung/brain pairs, and identified potential regulators of the metastatic process to brain.</p>","Paul K. Paik, MD",25929848,Conquer Cancer Foundation Awards,Case Set,,,Nonsmall Cell Lung Cancer,5.0,13.0,DS-CA,WXS;Seq_DNA_SNP_MAF_Sum,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000907,nan,nan,2c08b3e8-2f72-496a-b961-aa4f09ad5ec0,dbGaP
phs000973,The Genomic Landscape of Juvenile Myelomonocytic Leukemia,"Leukemia, Myelomonocytic, Juvenile",2016-12-21,,JCML; JCML - Juvenile chronic myeloid leukemia; JMML; Juvenile Chronic Myelogenous Leukemia; Juvenile Myelomonocytic Leukemias; Juvenile chronic myelomonocytic leukemia,"<p>This study analyzed samples from 29 patients with juvenile myelomonocytic leukemia (JMML) using whole exome sequencing. Each patient had a paired germline tissue along with a diagnostic leukemia sample. Germline tissue types included buccal mucosa, cordblood, Epstein-Barr virus immortalized cell lines and fibroblasts from either skin or bone marrow. Leukemia samples were either blood or bone marrow. Seven of the 29 patients also had a relapsed leukemia sample available for exome analysis.</p>","Mignon Loh, MD",26457647,6059-09;T32CA128583;R01CA173085,Collection,,RUNX1;CBL;DNMT3A;EZH2;GATA2;JAK3;KRAS;NF1;NRAS;PTPN11;RRAS;ZRSR2;SH2B3;RRAS2;SETBP1;ASXL1,,29.0,65.0,DS-CA-NPU-MDS,WXS;Seq_DNA_SNP_MAF_Ind,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000973,nan,nan,863bc63c-b1ee-41cd-ac10-0386d0d7a9ff,dbGaP
phs001243,Genetic Basis of Breast Cancer Resistance in BRCA1 Mutation Carrier,Breast Neoplasms,2016-12-15,,Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer,"<p>Our study addressed a specific question in NCI RFA-CA-12-022: ""What underlying causal events - e.g., genetic, epigenetic, biologic, behavioral, or environmental - allow certain individuals to survive beyond the expected limits of otherwise highly lethal cancers?"". A germline mutation in BRCA1 (BRCA1+) is the most penetrant genetic predisposition for breast cancer. Nevertheless, a portion of BRCA1+ carriers does not develop breast cancer in their lifetime, suggesting that the genetic predisposition can be antagonized by resistant factors. BRCA1+ was inherited from an ancestor of the carrier family thousand years ago. We hypothesize that evolution could select certain genetic components to suppress oncogenesis caused by the predisposition. We compared germline variants in all genes in 27 pairs of breast cancer-unaffected and -affected BRCA1+ carriers, each pair inherited the same BRCA1+. We identified 12 deleterious variants enriched in breast cancer-unaffected carriers, all are common variants. A variant rs3735400 is located in ANLN, a cytokinesis-essential gene. Overexpression of variant-containing ANLN and suppressed expression of endogenous ANLN decrease ANLN nuclear localization and delay cell growth. Our findings suggest that common variants can be selected to resist oncogenesis imposed by BRCA1+.</p>","San Ming Wang, MD",,R21 CA180008,Case Set,,BRCA1,"Genes, BRCA1;Germ-Line Mutation",54.0,54.0,GRU-PUB,WXS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001243,nan,nan,1f1f4079-2be1-4d8a-9e1e-a3740acbd7ff,dbGaP
phs000804,Genomic Sequencing of Ewing Sarcoma,"Sarcoma, Ewing",2016-12-13,,ES; Ewing Sarcoma; Ewing Tumor; Ewing tumour; Ewing's Sarcoma; Ewing's Tumor,"<p>Pediatric Ewing sarcoma is a pediatric cancer that primarily arises from the bone. It is characterized by chimeric fusions of the EWS gene and an ETS family transcription factor. In this study, we performed massively parallel sequencing of a larger collection of Ewing sarcoma tumors to define the genomic landscape of this disease. We found that these tumors are among of the most genetically normal cancers currently characterized. There was also a marked absence of recurrent mutations in immediately targetable signaling transduction pathway genes. In this study we answer outstanding questions about ETS transcription factor expression, effects of treatment on mutational burden in Ewing sarcoma tumors, and describe patterns of tumor evolution. We also found that loss-of-function mutations in STAG2 were present in approximately 15% of Ewing sarcoma tumors and loss of STAG2 expression was associated with disease metastasis in this patient cohort.</p>",Kimberly Stegmaier;Jaume Mora;Gad Getz,25186949,Slim Initiative for Genomic Medicine (SIGMA),Whole Genome Sequencing;Exome Sequencing;RNA Sequencing,,,,102.0,132.0,GRU;DS-CA-MDS,Array_SNP;RNA-Seq;WXS;WGS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000804,nan,nan,6da1a804-342e-4d3c-9cd7-64f79028e1df,dbGaP
phs001185,Genome-Wide Scan of Early-onset Prostate Cancer,Prostatic Neoplasms,2016-11-03,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate",<p>This is a genome-wide association scan of 931 early-onset prostate cancer cases of European ancestry. The samples were selected from prostate cancer studies at the University of Michigan. Controls were previously genotyped individuals selected from the Cancer Genetics Markers of Susceptibility (CGEMS) and Illumina&#39;s iControlDB database.</p>,Kathleen Cooney,24740154;26671023,CA136621,Case-Control,,,,931.0,931.0,DS-CA,Array_SNP,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001185,nan,nan,2b9585bf-7cb1-4c42-9218-224f6a447760,dbGaP
phs001223,Analysis of AR Gene Rearrangements in Prostate Cancer,Prostatic Neoplasms,2016-10-31,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate","<p>Molecularly-targeted therapies for advanced prostate cancer include castration modalities that suppress ligand-dependent transcriptional activity of the androgen receptor (AR). However, persistent AR signaling undermines therapeutic efficacy and promotes progression to lethal castration-resistant prostate cancer (CRPC), even when patients are treated with potent second-generation AR-targeted therapies abiraterone and enzalutamide. Here we define diverse AR genomic structural rearrangements (AR-GSRs) as a class of molecular alterations occurring in one third of CRPC-stage tumors. AR-GSRs occur in the context of copy-neutral and amplified AR and display heterogeneity in breakpoint location, rearrangement class, and sub-clonal enrichment in tumors within and between patients. Despite this heterogeneity, one common outcome in tumors with high sub-clonal enrichment of AR-GSRs is outlier expression of diverse AR variant species lacking the ligand binding domain and possessing ligand-independent transcriptional activity. Collectively, these findings reveal AR-GSRs as important drivers of persistent AR signaling in CRPC.</p>","Scott M. Dehm, PhD",,R01CA174777;U.S. Department of Defense Prostate Cancer Research Program Transformative Impact Award W81XWH-15-1-0430;Pacific Northwest Prostate Cancer SPORE (P50CA97186);PO1CA085859;PO1CA163227;Richard M. LUCAS Foundation;NIH Medical Scientist Training Program grant T32GM008244,Case Set,,AR,,42.0,57.0,DS-CA-PUB-MDS,OTHER;RNA-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001223,nan,nan,0cbbe9ec-d8ee-46bc-93c0-76719cf49df7,dbGaP
phs000893,Genome-Wide Association Study of Endometrial Cancer in E2C2,"Carcinoma, Endometrioid",2016-10-27,,Uterine Neoplasms; Endometrial Neoplasms; Endometrial Tumor; Endometrial neoplasm; Endometrium Neoplasm; Endometrium Tumor,"<p>Endometrial cancer, the most common gynecological malignancy in the United States, has both an environmental and genetic component. To this end, we conducted a genome-wide association study to identify genes involved in endometrial cancer using studies from the NCI-supported Epidemiology of Endometrial Cancer Consortium (E2C2). For the discovery stage we included samples from 6 cohort and 7 case control studies through 2007. The total number of cases genotyped were 2,307, white women of European descent, and 2,307 matched controls using the Illumina HumanOmniExpress platform. We conducted the replication using the Infinium HumanExome BeadChip, which successfully genotyped 177,139 variants in 1055 cases and 1778 controls from four ethnically diverse studies that are part of the Epidemiology of Endometrial Cancer Consortium (E2C2). The overall goal is to determine whether certain genotypes are predictive of future endometrial cancer risk, and whether the genotypes interact with established endometrial risk factors.</p>","Immaculata De Vivo, PhD",19132539;24096698;24810602,R01 CA134958-01A1,Case-Control;Nested Case-Control,http://epi.grants.cancer.gov/eecc/,,Endometrial Neoplasms;Uterine Neoplasms,8622.0,8622.0,HMB-PUB-NPU-MDS-GSO;DS-EC-MDS;DS-BOED-MDS;DS-CA;GRU-MDS;GRU-COL-MDS;DS-CHRONIC;DS-ENDOMETRIAL-MDS;CADM,Array_SNP,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000893,nan,nan,832ee214-56ca-472f-b01c-9a2d239bdc7f,dbGaP
phs000669,AMBER Consortium,Breast Neoplasms,2016-10-21,"European (5), African (151), African American (3782), Hispanic1 (42), Other (19)",Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer,"<p>The AMBER Consortium Study was formed to pool interview data, questionnaire data, and biological samples from epidemiological studies of breast cancer in African-American women to discover the potential causes of early-onset and aggressive breast cancer in African-American women. AMBER is funded through a Program Project grant from the National Cancer Institute. Genetic data submitted to dbGaP come from participants in the Carolina Breast Cancer Study, Women&#39;s Circle of Health Study, and Black Women&#39;s Health Study. The P01 consists of four scientific projects; the aims include follow-up on previous GWAS findings for breast cancer susceptibility in AA women as well as investigation of SNPs in candidate genes in biologically plausible pathways. These SNPs were genotyped using DNA from 3130 African-American women with breast cancer and 3700 controls. Descriptions of the original studies that provided the data and samples for this collaborative study are given below.</p> <p> <ol> <li><u>The Carolina Breast Cancer Study (CBCS):</u> a North Carolina population-based case-control study of breast cancer, conducted in three phases. The current study phase, phase 3 (years 2008-2014), includes women residents in 44 counties. CBCS phases 1 and 2 were conducted in 24 counties. Breast cancer cases are identified using Rapid Case Ascertainment in cooperation with the NC Central Cancer Registry. Controls were identified for phases 1 and 2 only (1993-1996 and 1996-2001), using Division of Motor Vehicles lists for women under age 65 and Health Care Financing Administration lists for women 65 and older. Randomized recruitment was used to oversample AA women and women under age 50. In-depth interviews are conducted by study nurses in participants&#39; homes to obtain information on potential risk factors for breast cancer. DNA samples have been obtained from most participants. Overall response rates for Phases 1 and 2 were 74% for AA cases and 54% for AA controls. Phase 3, conducted in 44 counties from 2008-2014, includes cases only. The response rate for AA cases in Phase 3 was 70.5%.</li> <li><u>The Women&#39;s Circle of Health Study (WCHS):</u> a multi-site case-control study in New York City (NYC) and New Jersey (NJ) aimed at evaluating risk factors for early and aggressive breast cancer in women of AA and EA ancestry. Recruitment in NYC took place between January 2002 and December 2008 and involved hospital-based ascertainment of cases, while controls were identified through random digit dialing (RDD). Recruitment at the NJ site started in March 2006 and is ongoing. Phase I of the study ended in April 2012 and covered seven counties in NJ. WCHS2 includes two additional counties. Cases in NJ were identified from 2006 to 2012 by the NJ State Cancer Registry using rapid case ascertainment. Controls were initially recruited though RDD (2006 to 2010) and later through community-based efforts (2009-2012). In-person interviews ascertained data on established and suspected risk factors for breast cancer. DNA samples were obtained. Among eligible AA women, 75% in NY and 54% in NJ completed an interview and provided a biologic specimen.</li> <li><u>Black Women&#39;s Health Study (BWHS):</u> an ongoing prospective cohort study of health and illness among U.S. black women, with a focus on cancer. The study began in 1995 when 59,000 AA women 21-69 years of age from across the United States completed a 14-page postal health questionnaire. The median age at entry was 38, and participants were residents of 17 states in mainland U.S.: Northeast, 28%; South, 30%; Midwest, 23%; West, 19%. The baseline questionnaire elicited information on a wide range of variables, including demographic factors, use of medical care, family history of breast cancer, reproductive and medical history, cigarette and alcohol use, weight, height, waist and hip circumference, medication use, diet, and exercise. Biennial follow-up questionnaires ascertain new cases of breast cancer and other illnesses and update covariate information. Medical record and cancer registry data are sought for all participants who report a diagnosis of breast cancer. As of 2014, approximately 80% of the baseline cohort have completed follow-up. DNA samples were obtained from about 50% of participants. BWHS data for the AMBER consortium were prepared as a nested case-control study, with controls frequency-matched to cases on year of birth, geographic region, and most recent questionnaire completed prior to the end of the at-risk period. </li> </ol> </p>",Julie R. Palmer;Christine B. Ambrosone;Andrew F. Olshan,26743380;26577839;26650177;26458823,"P01 CA151135;HHSN268201200008I, NIH contract ""High throughput genotyping for studying the genetic contributions to human disease""",Case-Control,http://www.theamberproject.org/,,,6900.0,7127.0,NRUP;DS-BRCA-COL-MDS-GSO,Imputation_SNP;Array_SNP,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000669,nan,nan,cff4cc50-1876-4e1a-b058-d6c0af7dedff,dbGaP
phs001072,Genomic Analysis of Relapsed Pediatric Acute Lymphoblastic Leukemia,"Leukemia, Lymphoid",2016-10-11,,"Lymphoblastic Leukemia, Acute, T-Cell; Precursor B-Cell Lymphoblastic Leukemia; Leukemia, Lymphocytic; Leukemias, Lymphocytic; Leukemias, Lymphoid; Lymphatic leukemia","<p>Although multi-agent combination chemotherapy is curative in a significant fraction of childhood acute lymphoblastic leukemia (ALL) patients, 20% of cases relapse and most die due to chemo-refractory disease. Here we used whole-exome and whole-genome sequencing to analyze the mutational landscape and pattern of clonal evolution at relapse in pediatric ALL cases. These analyses showed that ALL relapses originate from a common ancestral precursor clone of the diagnosis and relapsed populations and frequently harbor mutations implicated in chemotherapy resistance. RAS-MAPK pathway activating mutations in NRAS, KRAS and PTPN11 were present in 24/55 (44%) cases in our series. Notably, while some cases showed emergence of RAS mutant clones at relapse, in others, RAS mutant clones present at diagnosis were replaced by RAS wild type populations. Mechanistically, functional dissection of mouse and human wild type Kras and mutant Kras (Kras G12D) isogenic leukemia cells demonstrated induction of methotrexate resistance, but also improved response to vincristine, in mutant Kras- expressing lymphoblasts. These results identify chemotherapy driven selection as a central mechanism of leukemia clonal evolution and pave the road for the development of tailored personalized therapies for the treatment of relapsed ALL. </p>","Adolfo Ferrando, MD, PhD",27655895,Translational Research Program (TRP) award,Cohort,,KRAS;NRAS;PTPN11,"Lymphoblastic Leukemia, Acute, T-Cell;Precursor B-Cell Lymphoblastic Leukemia",57.0,179.0,DS-CA-PUB-MDS-GSO,WXS;WGS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001072,nan,nan,dac7ecc3-9d28-46a8-b2c4-3ce86aa6c165,dbGaP
phs000801,NCI Non-Hodgkin Lymphoma GWAS,"Lymphoma, Non-Hodgkin",2016-09-22,,"Lymphoma, Follicular; B Cell CLL; B Cell Chronic Lymphocytic Leukemia; B Cell Leukemia, Chronic; B Cell Lymphocytic Leukemia; B Cell Malignancy, Low Grade","<p>Within the framework of the International Lymphoma Epidemiology Consortium (InterLymph) Consortium and NCI-sponsored Cohort Consortium, investigators from 22 studies came together to conduct a genome-wide association study (GWAS) of non-Hodgkin lymphoma (NHL). The goal of the study was to identify common genetic variants associated with the risk of NHL. As described previously (Berndt SI et al., Nature Genetics, 2013, PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/?term=23770605"">23770605</a> ), cases and controls from 22 studies, including nine prospective cohort studies, eight population-based case-control studies, and five clinic or hospital-based case-control studies were included in this effort. Cases of NHL were ascertained from cancer registries, clinics or hospitals, or through self-report verified by medical and pathology reports. The phenotype information for all NHL cases was reviewed centrally at the InterLymph Data Coordinating Center and harmonized according to the hierarchical classification proposed by the InterLymph Pathology Working Group based on the World Health Organization (WHO) classification (2008). Controls were frequency matched to cases on age and gender by study, and the study was limited to subjects of European ancestry. Participants were genotyped using the Illumina Omni Express.</p> <p><b>The NCI Non-Hodgkin Lymphoma GWAS is utilized in the following dbGaP sub-studies.</b> To view genotypes and derived variables collected in these sub-studies, please click on the following sub-studies below or in the ""Sub-studies"" section of this top-level study page <a href=""study.cgi?study_id=phs000801"">phs000801</a> NCI Non-Hodgkin Lymphoma GWAS. <ul> <li><a href=""study.cgi?study_id=phs000802"">phs000802</a> NCI Non-Hodgkin Lymphoma GWAS: CLL</li> <li><a href=""study.cgi?study_id=phs000818"">phs000818</a> NCI Non-Hodgkin Lymphoma GWAS: Controls</li> <li><a href=""study.cgi?study_id=phs000889"">phs000889</a> NCI Non-Hodgkin Lymphoma GWAS: DLBCL</li> <li><a href=""study.cgi?study_id=phs000890"">phs000890</a> NCI Non-Hodgkin Lymphoma GWAS: FL</li> <li><a href=""study.cgi?study_id=phs000891"">phs000891</a> NCI Non-Hodgkin Lymphoma GWAS: MZL</li> </ul> </p>",Sonja Berndt;Nathaniel Rothman;Stephen Chanock,23770605;25261932;25279986;25569183,Intramural Research Program,Cohort;Case-Control;Case Set,,,"Leukemia, Lymphocytic, Chronic, B-Cell;Lymphoma, Large B-Cell, Diffuse;Lymphoma, Follicular",10491.0,10791.0,DS-CA-IRB-NPU-GSO;DS-NHL-NPU-GSO;GRU-NPU-MDS,Array_SNP,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000801,nan,nan,75a2174c-c000-4757-9c76-421916b65269,dbGaP
